店名,郵便番号,住所,電話番号,備考
Feb's coffee & scone(フェブズ コーヒー アンド スコーン),111-0032,東京都台東区浅草3-1-1 馬道妙見屋ビル1F,0364581881,
カフェ・ミケランジェロ,150-0033,東京都渋谷区猿楽町29-3,0337709517,
TEXMEX FACTORY 渋谷公園通り店,150-0041,東京都渋谷区神南1-19-3 ハイマンテン神南ビル2F,05031619660,
CAFE ETRANGER NARAD - カフェ エトランジェ・ナラッド -,630-8228,奈良県奈良市上三条町23-4 奈良市観光センター「ナラニクル」内,0742205620,
糸島 London Bus cafe(ロンドン バス カフェ),819-1303,福岡県糸島市志摩野北2289-6,,
gion,166-0001,東京都杉並区阿佐谷北1-3-3 川染ビル1F,0333384381,
JULES VERNE COFFEE,166-0002,東京都杉並区高円寺北4-2-24 A106,0353569810,
MR.FRIENDLY Cafe,150-0021,東京都渋谷区恵比寿西2-18-6 SPビル1F,0337800986,
幸せのパンケーキ淡路島テラス,656-1501,兵庫県淡路市尾崎42-1,0799851111,
しもきた茶苑大山喫茶室,155-0031,東京都世田谷区北沢2-30-2 2F,0334665588,
京 八坂プリン,605-0853,京都府京都市東山区星野町87-4,0755338338,
一保堂茶舗 京都本店,604-0915,京都府京都市中京区寺町通二条上ル常盤木町52,0752114018,
表参道 茶茶の間,150-0001,東京都渋谷区神宮前5-13-14,0354688846,
はいむる珈琲,142-0062,東京都品川区小山4-9-4 1F,0364513768,
モーニング喫茶リヨン,450-0003,愛知県名古屋市中村区名駅南1-24-30 三井ビル本館B1,0525513865,
ANALOG SHINJUKU (アナログシンジュク),160-0022,東京都新宿区新宿3-12-12 吉田ビル4F,05050510587,
coto cafe,160-0022,東京都新宿区新宿5-17-6  中田ビル 2F,0362337782,
いちご BONBON BERRY ATAMI HOUSE(ボンボン ベリー アタミ ハウス),413-0011,静岡県熱海市田原本町3-16,0557559550,
haritts(ハリッツ) 上原店,151-0064,東京都渋谷区上原1-34-2,0334660600,
アマム ダコタン 表参道店,107-0061,東京都港区北青山3-7-6,0334982456,
chai break(チャイ ブレイク) 旬の紅茶とチャイの店,180-0005,東京都武蔵野市御殿山1-3-2,0422799071,
純喫茶アメリカン,542-0071,大阪府大阪市中央区道頓堀1-7-4 株式会社アメリカンビル,0662112100,
ラウンジ&バー 「マリンブルー」,220-0012,神奈川県横浜市西区みなとみらい1-1-1 ヨコハマ グランド インターコンチネンタル ホテル 2F,0452232267,※電話番号はレストラン予約(受付時間9:00-20:00)
パンとエスプレッソと嵐山庭園「エスプレッソと」,616-8385,京都府京都市右京区嵯峨天龍寺芒ノ馬場町45-15,0753666850,
夜パフェ専門店モモブクロ,171-0021,東京都豊島区西池袋1-40-5 名取ビル B1F,0369141839,
フジフランス,534-0024,大阪府大阪市都島区東野田町2-1-38 京阪モール1F,0668097008,
喫茶マウンテン,466-0826,愛知県名古屋市昭和区滝川町47-86,0528320897,
NORIZ COFFEE(ノリズ コーヒー),180-0022,東京都武蔵野市境2-8-1,,
やまもと喫茶,605-0066,京都府京都市東山区白川北通東大路西入ル石橋町307-2,0755310109,
OXYMORON(オクシモロン) 玉川高島屋S・C店,158-0094,東京都世田谷区玉川3-7-18 玉川高島屋S・C南館4F,0368056505,
a la ringo(ア ラ リンゴ) 神戸トアロード店,650-0011,兵庫県神戸市中央区下山手通3-10-1 TRSXビル 1-2F,0783341105,
TENRAN CAFE(テンラン カフェ),657-0101,兵庫県神戸市灘区六甲山町一ヶ谷1-32,0788911011,
ナタ・デ・クリスチアノ,151-0063,東京都渋谷区富ケ谷1-14-16 スタンフォードコート103,0368049723,
バンタカフェ by 星野リゾート,904-0327,沖縄県中頭郡読谷村儀間560,,※詳細は公式HPをご確認ください。https://banta-cafe.com/
THE CAMPANELLA CAFE(ザ カンパネラ カフェ),100-0005,東京都千代田区丸の内1-9-1 大丸東京店 4F,0362680371,
キハチ カフェ 日比谷シャンテ店,100-0006,東京都千代田区有楽町1-2-2 日比谷シャンテ内,0362733111,
walden woods kyoto(ウォールデン ウッズ キョウト),600-8194,京都府京都市下京区栄町508-1,0753449009,
Blue Bottle Coffee(ブルー ボトル コーヒー) 京都カフェ,606-8437,京都府京都市左京区南禅寺草川町64,,
CIBI Tokyo Store(チビ トウキョウ ストア),113-0022,東京都文京区千駄木3-37-11,0358348045,
くぐつ草,180-0004,東京都武蔵野市吉祥寺本町1-7-7 島田ビルB1F,0422218473,
果実園リーベル 目黒店,153-0063,東京都目黒区目黒1-3-16 ブレジデド目黒ハイツ2F,0364174740,
からさわ,722-0035,広島県尾道市土堂1-15-19,0848236804,
スターバックス コーヒー 弘前公園前店,036-8207,青森県弘前市上白銀町1-1,0172394051,
デザートカフェ 長楽館,605-0071,京都府京都市東山区八坂鳥居前東入円山町604,0755610001,
コンパル 大須本店,460-0011,愛知県名古屋市中区大須3-20-19,0522413883,
スターバックスコーヒー 鎌倉御成町店,248-0012,神奈川県鎌倉市御成町15-11,0467612161,
パンビュッフェ&肉イタリアン 茶屋町 ファクトリーカフェ,530-0012,大阪府大阪市北区芝田1-7-2 阪急かっぱ横丁 梅田芸術劇場前,0663747677,
札幌 サンドイッチの店 さえら,060-0042,北海道札幌市中央区大通西2-5-1 都心ビルB3F(地下鉄大通駅19番出入口直結),0112214220,
カフェ パウリスタ 銀座本店,104-0061,東京都中央区銀座8-9 長崎センタービル1F,0335726160,
松庵文庫,167-0054,東京都杉並区松庵3-12-22,0359413662,
伊右衛門サロン アトリエ 京都,605-0821,京都府京都市東山区八坂鳥居前下る清井町481-1,0757446451,
BONGEN COFFEE(ボンゲン コーヒー),104-0061,東京都中央区銀座2-16-3,0362643988,
FRENCH POUND HOUSE 大和郷店 (フレンチパウンドハウス ヤマトムラテン),170-0002,東京都豊島区巣鴨1-4-4,0339442108,
椿サロン 銀座,104-0061,東京都中央区銀座6丁目6-19 新太炉ビル3F,0362639450,
CHAVATY kyoto arashiyama,616-8383,京都府京都市右京区嵯峨中之島町 官有地朝乃家,08040556978,
フルーツすぎ,170-0004,東京都豊島区北大塚2-11-4 グランダエクラディーカス 1F,0339401805,
湯島庵,509-2207,岐阜県下呂市湯之島845,0576256226,
NEZU CAFE(ネヅ カフェ),107-0062,東京都港区南青山6-5-1 根津美術館内,0334002536,
HIMITO,920-0975,石川県金沢市中川除町51,0762243730,
LeBRESSO(レブレッソ)本店,543-0023,大阪府大阪市天王寺区味原町1-1,0667658005,
森森舎 -カフェ&陶芸教室-,558-0056,大阪府大阪市住吉区万代東1-3-14,0666966313,
GINZA Tricolore(ギンザ トリコロール) 本店,104-0061,東京都中央区銀座5-9-17,0335711811,
Boulangerie et Cafe Main Mano(ブーランジェリー エ カフェ マンマーノ),151-0066,東京都渋谷区西原3-6-5 MH代々木上原 1F,0364168022,
THINK OF THINGS(シンク オブ シングス),151-0051,東京都渋谷区千駄ヶ谷3-62-1,,
LIBERTE PATISSERIE BOULANGERIE(リベルテ パティスリー ブーランジェリー),180-0004,東京都武蔵野市吉祥寺本町2-14-3,0422276593,
FabCafe Tokyo(ファブカフェ トウキョウ),150-0043,東京都渋谷区道玄坂1-22-7  道玄坂ピア 1F,0364169190,
COEDA HOUSE(コエダ ハウス),413-0101,静岡県熱海市上多賀1027-8 ACAO FOREST内,07040199228,
YELLOW CAFE(イエロー カフェ),155-0032,東京都世田谷区代沢4-17-19 Nビル 1F,0368052041,
イイジカン麹町,102-0083,東京都千代田区麹町3-10-8 cooee麹町 1F,0362614069,
CAFE BARNEY,151-0063,東京都渋谷区富ヶ谷1-2-12 田崎ビル1F,0364071393,
ヘッケルン,105-0003,東京都港区西新橋1-20-11 安藤ビル1S,0335805661,
スターバックスコーヒー 京都三条大橋店,604-8004,京都府京都市中京区三条通河原町東入ル中島町113近江屋ビル1F,0752132326,
ポケモンセンタートウキョーDX(ディーエックス) & ポケモンカフェ,103-0027,東京都中央区日本橋2-11-2 日本橋高島屋S.C.東館 5F,,[ポケモンセンタートウキョーDX]03-6262-6452[ポケモンカフェ]03-6262-3439=========================(C)Pokemon. (C)Nintendo/Creatures Inc. /GAME FREAK inc.ポケットモンスター・ポケモン・Pokemon は任天堂・クリーチャーズ・ゲームフリークの登録商標です。=========================
スイーツパラダイス 梅田店,530-0017,大阪府大阪市北区角田町5-1 梅田楽天地ビル2F,0663114649,
珈琲館 ロックヴィラ,537-0024,大阪府大阪市東成区東小橋3-17-23,0669750315,
万平ホテルカフェテラス,389-0102,長野県北佐久郡軽井沢町軽井沢925,0267421234,
LONCAFE(ロンカフェ) 湘南江の島本店,251-0036,神奈川県藤沢市江の島2-3-38 江の島サムエルコッキング苑内,0466283636,
文房具カフェ,150-0001,東京都渋谷区神宮前4-8-1 内田ビルB1,0334706420,
BUNDAN COFFEE & BEER(ブンダン コーヒー アンド ビア),153-0041,東京都目黒区駒場4-3-55 日本近代文学館内,0364070554,
8 jours,155-0031,東京都世田谷区北沢2-37-17,0368049192,
almond hostel & cafe,151-0062,東京都渋谷区元代々木町1-7,0364079739,
しろいくろ,106-0045,東京都港区麻布十番2-8-1,0334547225,
京都村上開新堂,604-0915,京都府京都市中京区寺町通二条上ル東側,0752311058,※カフェは現在休業中です。
フランソア喫茶室,600-8019,京都府京都市下京区西木屋町通り四条下ル船頭町184,0753514042,
Vermillion - cafe.(バーミリオン カフェ),612-0805,京都府京都市伏見区深草開土口町5-31,,
SINCERE GARDEN cafe (シンシア ガーデン カフェ),107-0061,東京都港区北青山3-5-4,0357757375,
コーチャンフォー若葉台店,206-0824,東京都稲城市若葉台2-9-2,0423502800,駐輪場あり(330台)
スターバックスコーヒー イオンモールKYOTO店,601-8417,京都府京都市南区西九条鳥居口町1,0756941725,
スターバックスコーヒー 川越鐘つき通り店,350-0063,埼玉県川越市幸町15-18,0492285600,
サザコーヒー 本店,312-0043,茨城県ひたちなか市共栄町8-18,0120371151,
HAGISO,110-0001,東京都台東区谷中3-10-25,0358329808,
喫茶チロル,604-8306,京都府京都市中京区門前町539-3,0758213031,
スターバックス コーヒー 新宿御苑店,160-0014,東京都新宿区内藤町11新宿御苑,0363842185,
Paul Bassett,160-0023,東京都新宿区西新宿1-26-2 新宿野村ビルB1F,0353245090,
石釜 bake bread 茶房 TAM TAM,101-0051,東京都千代田区神田神保町1-9 1F,0332954787,
CAFE attmos.,605-0873,京都府京都市東山区下馬町490,,
egg東京,170-0013,東京都豊島区東池袋1-18-1 Hareza Tower1F,0359577115,
SUGiTORA,604-8047,京都府京都市中京区中筋町488-15,0757418290,
ミメ,151-0063,東京都渋谷区富ヶ谷1-9-20 コシゴエビル1階,0357388241,
Cafebar GINZA(カフェバー ギンザ)328,104-8139,東京都中央区銀座3-9-11 フェニックスプラザ 1F,0335438117,
Royal Garden Cafe 渋谷 (ロイヤルガーデンカフェ 渋谷),150-0042,東京都渋谷区宇田川町4-3 ホテルユニゾ2F,0354569026,
JTRRD Cafe(ジェイティード カフェ),530-0043,大阪府大阪市北区天満3-4-5 タツタビル101,,
家と庭,107-0062,東京都港区南青山5-6-23 スパイラル 5F,0368253733,
KAKO 花車本店,450-0002,愛知県名古屋市中村区名駅5-16-17 花車ビル,0525860239,
コーヒーショップ ヤマモト,616-8376,京都府京都市右京区嵯峨天龍寺瀬戸川町9-7,0758714454,
喫茶ゾウ,602-0915,京都府京都市上京区三丁町440-3,0754060245,
Good up Coffee(グッド アップ コーヒー),810-0012,福岡県福岡市中央区白金2-2-14,,
THE GOOD GOODIES(ザ グッド グッディーズ),248-0012,神奈川県鎌倉市御成町10-1,0467335685,
ONIBUS COFFEE Nakameguro(オニバス コーヒー ナカメグロ),153-0051,東京都目黒区上目黒2-14-1,0364128683,
北浜レトロビルヂング,541-0041,大阪府大阪市中央区北浜1-1-26,0662235858,
Cafe Lisette(カフェ リゼッタ),158-0094,東京都世田谷区玉川3-9-7,0357173779,
lohasbeans coffee(ロハスビーンズ コーヒー),107-0062,東京都港区南青山5-8-10 萬楽庵ビル2 1階,0334007124,
SONGBIRD COFFEE.(ソングバード コーヒー),604-0075,京都府京都市中京区竹屋町通堀川東入西竹屋町529,0752522781,
Little Darling Coffee Roasters(リトル ダーリン コーヒー ロースターズ),107-0062,東京都港区南青山1-12-32,0364389844,
Little chef,152-0032,東京都目黒区平町1-23-18 マヌワール都立大103,0364212179,
にしむら珈琲店 中山手本店,650-0004,兵庫県神戸市中央区中山手通1-26-3,0782211872,
山の茶屋 楽水,901-0604,沖縄県南城市玉城字玉城19-1,0989481227,
茶屋本陣 畔屋,250-0521,神奈川県足柄下郡箱根町箱根161-1,0460836711,
スターバックスコーヒー 太宰府天満宮表参道店,818-0117,福岡県太宰府市宰府3-2-43,0929195690,
サラベス 名古屋店,450-0002,愛知県名古屋市中村区名駅1-1-3 タカシマヤ ゲートタワーモール1F,0525666102,
STREAMER COFFEE COMPANY SHIBUYA(ストリーマー コーヒー カンパニー シブヤ),150-0002,東京都渋谷区渋谷1-20-28,0364273705,
グラマシースイート,453-0872,愛知県名古屋市中村区平池町4-60-7 ストリングスホテル名古屋,0525890787,
GOOD TIME COFFEE(グッド タイム コーヒー),600-8364,京都府京都市下京区突抜2-357,0752027824,
前田珈琲 本店,604-8151,京都府京都市中京区蛸薬師通烏丸西入橋弁慶町236,0752552588,
BUCYO COFFEE(ブチョー コーヒー),450-0003,愛知県名古屋市中村区名駅南1-10-9 山善ビル1F,0525823780,
ブラジレイロ,812-0025,福岡県福岡市博多区店屋町1-20,0922710021,
IPPUKU&MATCHA(イップクアンドマッチャ) 日本橋店,103-0022,東京都中央区日本橋室町2-1-1 日本橋三井タワー 1F,0362623224,
パンとエスプレッソとまちあわせ,150-0002,東京都渋谷区神宮前6-20-10 MIYASHITA PARK South 2F,0368050830,
MICASADECO&CAFE(ミカサデコアンドカフェ),556-0021,大阪府大阪市浪速区幸町1-2-8 1F,0665611191,
MICROCOSMOS,150-0002,東京都渋谷区渋谷1-25-6渋谷パークサイド共同ビル8階,0334096581,
BreathCafe,160-0022,東京都新宿区新宿3-9-4 増蔵ビル 3F,0363806680,
