店名,郵便番号,住所,電話番号,備考
セントル ザ ベーカリー,104-0061,東京都中央区銀座1-2-1 紺屋ビル 1F,0335621016,
スマート珈琲店,604-8081,京都府京都市中京区寺町通三条上ル天性寺前町537,0752316547,
Beauty Connection Ginza Fruits Salon(ビューティー コネクション ギンザ フルーツ サロン),104-0061,東京都中央区銀座7-9-15 2F,0362638392,
Onigily Cafe(オニギリー カフェ),153-0061,東京都目黒区中目黒3-1-4,0357085342,
レ・グラン・ザルブル,106-0047,東京都港区南麻布5-15-11 3F・屋上,0357911212,※エレベーターなし。階段のみ。※雨天時、屋上テラス席は使用不可。
Sarabeth’s (サラベス) 東京店,100-0005,東京都千代田区丸の内1-8-2 鉄鋼ビルディング南館2・3F,0362063551,
タカノフルーツパーラー 新宿本店,160-0022,東京都新宿区新宿3-26-11 新宿高野本店5F,0353685147,
Saten japanese tea(サテン ジャパニーズ ティー),167-0054,東京都杉並区松庵3-25-9,0367548866,
INITIAL(イニシャル) 表参道,150-0001,東京都渋谷区神宮前6-12-7 J-cube A棟 1F,0368038979,
台湾甜商店 新宿店,160-0022,東京都新宿区新宿3-36-10 アインズ&トルペ新宿東口店2F,0359258240,
枇杷倶楽部カフェ,299-2416,千葉県南房総市富浦町青木123-1,0470334611,
Cafe Kitsune Aoyama(カフェ キツネ アオヤマ),107-0062,東京都港区南青山3-15-9,0357864842,
No.4(ナンバーフォー),102-0081,東京都千代田区四番町5-9,0332344440,
横山展望台天空カフェテラス ミラドール志摩,517-0501,三重県志摩市阿児町鵜方875-24,0599440567,※電話番号は、横山ビジターセンターに繋がります。
えの木てい,231-0862,神奈川県横浜市中区山手町89-6,0456232288,※現在時短営業中[平日]12:00-17:30(L.O.17:00)[土日祝]11:30-18:00(L.O.17:30)
キルフェボン グランメゾン銀座,104-0061,東京都中央区銀座2-5-4 ファサ-ド銀座 1・B1F,0351590605,
ブルーボトルコーヒー  清澄白河フラッグシップカフェ,135-0023,東京都江東区平野1-4-8,,
カヤバ珈琲,110-0001,東京都台東区谷中6-1-29,0358329896,
ミカドコーヒー軽井沢旧道店,389-0102,長野県北佐久郡軽井沢町大字軽井沢786-2,0267422453,
熱海プリン カフェ2nd(セカンド),413-0013,静岡県熱海市銀座町10-22,0557851112,
ペリカンカフェ,111-0042,東京都台東区寿3-9-11,0362317636,
% Arabica Kyoto (アラビカ京都 嵐山),616-8385,京都府右京区嵯峨天龍寺芒ノ馬場町3-47,0757480057,
dotcom space Tokyo(ドットコム スペース トーキョー),150-0001,東京都渋谷区神宮前1-19-19 B1F,0367211963,
A WORKS(エーワークス),152-0001,東京都目黒区中央町2-23-20 2F,0368737390,
和栗専門 紗織,600-8014,京都府京都市下京区木屋町通松原上る2和泉屋町170-1,0753655559,
清水チーズ工房,605-0865,京都府京都市東山区白糸町569-10,0757462231,
torse,154-0002,東京都世田谷区下馬5-35-5 2F,0364532418,
築地本願寺カフェTsumugi(ツムギ),104-0045,東京都中央区築地3-15-1,0355655581,
WIRED TOKYO 1999(ワイアード トウキョウ イチキュウキュウキュウ),150-0042,東京都渋谷区宇田川町21-6  QFRONT7F,0354591270,
菓舗 Kazu Nakashima,920-0831,石川県金沢市東山1-7-6,0762525280,
BRICK LANE(ブリック レーン),154-0017,東京都世田谷区世田谷1-15-14 1F,0364130157,
スターバックス コーヒー 京都二寧坂ヤサカ茶屋店,605-0826,京都府京都市東山区高台寺南門通下河原東入桝屋町349,0755320601,
さらさ西陣,603-8223,京都府京都市北区紫野東藤ノ森町11-1,0754325075,
Ryumon coffee stand(リュモン コーヒー スタンド),180-0003,東京都武蔵野市吉祥寺南町2-14-9,,誠に勝手ながら、店内でのPC作業や勉強、飲食物のお持ち込みはご遠慮頂いております。HPに記載あり。
KANNON COFFEE kamakura(カンノン コーヒー カマクラ),248-0016,神奈川県鎌倉市長谷3-10-29,,
クリントン・ストリート・ベイキング・カンパニー 東京,107-0062,東京都港区南青山5-17-1 YHT南青山ビル,0364505944,
フロインドリーブ,651-0092,兵庫県神戸市中央区生田町4-6-15,0782316051,
洋菓子・喫茶ボンボン,461-0001,愛知県名古屋市東区泉2-1-22,0529310442,
市川屋珈琲,605-0875,京都府京都市東山区渋谷通東大路西入鐘鋳町396-2,,
トラヤあんスタンド北青山店,107-0061,東京都港区北青山3-12-16,0364506720,
茶寮 FUKUCHA(フクチャ) 京都駅店,600-8216,京都府京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル 中央口2階,0757440552,
FUGLEN TOKYO(フグレン トウキョウ),151-0063,東京都渋谷区富ヶ谷1-16-11,0334810884,
祇園北川半兵衞 本店,605-0074,京都府京都市東山区祇園町南側570-188,0752050880,
浜辺の茶屋,901-1400,沖縄県南城市玉城字玉城2-1,0989482073,
喫茶 La Madrague(ラ マドラグ),604-0035,京都府京都市中京区押小路通西洞院東入ル北側,0757440067,
人間関係,150-0042,東京都渋谷区宇田川町16-12,0334965001,
NORTHSHORE(ノースショア),541-0041,大阪府大阪市中央区北浜1-1-28 ビルマビル1F・2F,0647076668,
イワタコーヒー店,248-0006,神奈川県鎌倉市小町1-5-7,0467222689,
CAFE AALIYA(カフェ・アリヤ),160-0022,東京都新宿区新宿3-1-17 山本ビルB1F,0333541034,
Yokohama Chocolate factory&museum(ヨコハマ チョコレート ファクトリー アンド ミュージアム),231-0023,神奈川県横浜市中区山下町97 横浜大世界2F,0456815588,完全予約制
from afar(フロム アファー),111-0042,東京都台東区寿2-5-12 1F,,
ギャラリー茶房 古桑庵,152-0035,東京都目黒区自由が丘1-24-23,0337184203,
甘味みつや,111-0032,東京都台東区浅草1-32-13,0368027710,
生果実専門店 ASAKUSA YOROZU CAFE,111-0032,東京都台東区浅草4-4-4 浅草荘マンション1F,0358089408,
プリンチ 代官山T-SITE,150-0033,東京都渋谷区猿楽町16-15代官山T-SITE N-4棟1階,0364552470,
Fukunaga(フクナガ)901,600-8216,京都府京都市下京区烏丸通塩小路下ル東塩小路町901番地 京都駅ビル内8F,0753420082,
神宮前 らかん・果,150-0001,東京都渋谷区神宮前3-7-8 ブレノワール青山ビル,0364471805,
BUY ME STAND(バイ ミー スタンド) 渋谷店,150-0011,東京都渋谷区東1-31-19 マンション並木橋302,0364506969,
スターバックスコーヒー 東京ドームシティ ラクーア店,112-0003,東京都文京区春日1-1-1ラクーア,0338688061,
スターバックス コーヒー 神戸北野異人館店,650-0002,兵庫県神戸市中央区北野町3-1-31 北野物語館,0782306302,
knot cafe(ノットカフェ),602-8387,京都府京都市上京区今小路通七本松西入東今小路町758-1,0754965123,
Ivorish 渋谷,150-0042,東京都渋谷区宇田川町3-3 B1F,0364553040,
スターバックス リザーブ(R)ストア 銀座マロニエ通り,104-0061,東京都中央区銀座3-7-3 銀座オーミビル 1F,0335675713,
カフェ ヴィヴモン ディモンシュ,248-0006,神奈川県鎌倉市小町2-1-5,0467239952,
GARDEN HOUSE CRAFTS Daikanyama(ガーデン ハウス クラフツ ダイカンヤマ),150-0034,東京都渋谷区代官山町13-1 ログロード代官山5号棟内,0364525200,
MICASADECO & CAFE(ミカサデコ アンド カフェ)神宮前,150-0001,東京都渋谷区神宮前6-13-2,0368038630,
茶寮都路里 京都伊勢丹店,600-8216,京都府京都市下京区烏丸通塩小路下ル東塩小路町 ジェイアール京都伊勢丹6F,0753526622,
Salon de KANBAYASHI(サロン ド カンバヤシ) 上林春松本店,605-0828,京都府京都市東山区下河原通高台寺塔之前上る金園町400-1 AKAGANE RESORT KYOTO HIGASHIYAMA 1925内,0755513633,
JUNO 自由が丘本店,158-0083,東京都世田谷区奥沢7丁目2-9,0357582557,
chano-ma 横浜,231-0001,神奈川県横浜市中区新港1-1-2 横浜赤レンガ倉庫2号館 3F,0456508228,
おふろcafe(カフェ) ハレニワの湯,360-0831,埼玉県熊谷市久保島939,0485332614,
MELTING IN THE MOUTH,150-0012,東京都渋谷区広尾5-17-10 MKビル1F,0364593838,
MAISON ABLE Cafe Ron Ron(メゾン エイブル カフェ ロンロン),150-0001,東京都渋谷区神宮前6-7-15,0354688290,
animate cafe(アニメイト カフェ) 池袋店,170-0013,東京都豊島区東池袋3-2-1 アニメイトアネックス 7-8F,0359565401,
スターバックス コーヒー 富山環水公園店,930-0805,富山県富山市湊入船町5 富山富岩運河環水公園,0764392630,
パンとエスプレッソと自由形 Luz自由が丘店,152-0035,東京都目黒区自由が丘2-9-6 Luz自由が丘3F,0337248118,
AMERICAN アメリカン,104-0061,東京都中央区銀座4-11-7,0335420922,
ゴンチャ 原宿表参道店,150-0001,東京都渋谷区神宮前6-9-11 神宮前堺ビル 1F,0364274777,
SIGN ALLDAY(サイン オールデイ),150-0034,東京都渋谷区代官山町19-4 代官山駅ビル,0337809570,
ALL SEASONS COFFEE(オール シーズンズ コーヒー) 新宿三丁目店,160-0022,東京都新宿区新宿2-7-7 1F,0353414273,
WHITE GLASS COFFEE(ホワイト グラス コーヒー),150-0031,東京都渋谷区桜丘町23-18,0364164550,
ブルーボトルコーヒー 青山カフェ,107-0062,東京都港区南青山3-13-14,,
RIVERSIDE CLUB,153-0042,東京都目黒区青葉台3丁目18-3THEWORKS1F,0364164646,
茶香,120-0033,東京都足立区千住寿町31-7,0338702626,
COFFEE VALLEY(コーヒー ヴァレー),171-0022,東京都豊島区南池袋2-26-3,0369071173,
インパーフェクト 表参道ヒルズ店,150-0001,東京都渋谷区神宮前4-12-10 表参道ヒルズ内,0367210766,
亀十,111-0034,東京都台東区雷門2-18-11,0338412210,Instagram:@Kameju_Asakusa
cafe&gallery HATTIFNATT(カフェアンドギャラリー ハティフナット)-吉祥寺のおうち-,180-0003,東京都武蔵野市吉祥寺南町2-22-1,0422266773,
cafe wall,160-0022,東京都新宿区新宿3-9-5  ゴールドビル 3FB,0363805108,
iki ESPRESSO(イキ エスプレッソ),135-0006,東京都江東区常盤2-2-12,0366594654,
Beach Cafe SUNSET(ビーチ カフェ サンセット),819-0202,福岡県福岡市西区西浦284,0928092937,
cafe&books bibliotheque東京・有楽町,100-0006,東京都千代田区有楽町2-5-1 ルミネ有楽町店 ルミネ1 3F,0352221566,
Q-pot CAFE.(キューポットカフェ) 表参道本店,150-0001,東京都渋谷区神宮前3-4-8,0364471218,
少人数から貸切対応 Cafe&party Lumiere(ルミエール) 吉祥寺,180-0003,東京都武蔵野市吉祥寺南町1-2-2 東山ビル4F,0422482121,
FLIPPER'S 下北沢店,155-0031,東京都世田谷区北沢2-26-20 1F,0357382141,
ローランズ 原宿,151-0051,東京都渋谷区千駄ヶ谷3-54-15 ベルズ原宿 1階,0364340080,
move cafe,160-0022,東京都新宿区新宿5-16-7  加丸屋ビル2F・3F,0333557307,
egg baby cafe,110-0005,東京都台東区上野5-10-9,0368231155,
ISHIYA NIHONBASHI コレド室町テラス店,103-0022,東京都中央区日本橋室町3-2-1,0362651143,
ゆりあぺむぺる,180-0003,東京都武蔵野市吉祥寺南町1-1-6,0422486822,
東京茶寮,154-0011,東京都世田谷区上馬1-34-15,,
アール座読書館,166-0003,東京都杉並区高円寺南3-57-6 2F,0333127941,
Kaikado Cafe(カイカドウカフェ),600-8143,京都府京都市下京区河原町通七条上る住吉町352,0753535668,
