店名,郵便番号,住所,電話番号,備考
カービィカフェ TOKYO(トーキョー) 東京ソラマチ店,131-0045,東京都墨田区押上1-1-2 東京ソラマチ(R)内,0336225577,
BOWERY KITCHEN(バワリー キッチン),154-0012,東京都世田谷区駒沢5-18-7,0337049880,
サモアール 馬車道店,231-0007,神奈川県横浜市中区弁天通4-67-1 馬車道スクエアビル1F,0452013050,
アマンド 六本木店,106-0032,東京都港区六本木6-1-26,0334021870,
KANNONCOFFEE,460-0011,愛知県名古屋市中区大須2丁目17-25,0522012588,
クレープとエスプレッソと自由形,152-0035,東京都目黒区自由が丘2-9-6,0357010508,
碧テラス,410-2211,静岡県伊豆の国市長岡260-1,0559481525,※カーナビの場合は伊豆パノラマパークでご検索ください。
GRANNY SMITH APPLE PIE & COFFEE(グラニー スミス アップル パイ アンド コーヒー) 銀座店,104-0061,東京都中央区銀座5-2-1 東急プラザ銀座B1F,0362645481,
よーじや 嵯峨野嵐山店 ショップ&カフェ&クレープ,616-8375,京都府京都市右京区嵯峨天龍寺立石町2,0758652213,[ショップ]075-865-2212[カフェ&クレープ]075-865-2213
Cafe やぶさち,901-0603,沖縄県南城市玉城字百名646-1,0989491410,
まるせい果樹園 農家カフェ「森のガーデン」,960-0231,福島県福島市飯坂町平野字森前27-3,0245414465,
サンデーブランチ 下北沢店,155-0031,東京都世田谷区北沢2-29-2 フェニキアビル 2F,0354533366,
Alley cafe(アリー カフェ),180-0003,東京都武蔵野市吉祥寺南町1-1-8 けやきビル 3F,0422269200,
「茶寮 八翠」 翠嵐 ラグジュアリーコレクションホテル 京都内,616-8385,京都府京都市右京区嵯峨天龍寺芒ノ馬場町12,0758721222,
fukadaso cafe(フカダソウ カフェ),135-0023,東京都江東区平野1-9-7,,
キャンベル・アーリー,812-0012,福岡県福岡市博多区博多駅中央街1-1 JR博多シティアミュプラザ博多9F,0924096909,[Instagram]https://www.instagram.com/campbell_early
One Suite Restaurant L Lota(ワン スイート レストラン エル ロタ),905-0406,沖縄県国頭郡今帰仁村古宇利466-1,0980515031,
うさぎやCAFE(カフェ),110-0005,東京都台東区上野1-17-5 1F,0362401561,
ミカド珈琲店 日本橋本店,103-0022,東京都中央区日本橋室町1-6-7,0332410530,[平日] モーニングサービスあり[土日祝]モーニングサービスなし
高木珈琲店 烏丸店,600-8415,京都府京都市下京区高辻下ル因幡堂町711,0753417528,
マールブランシュ 嵐山店,616-8385,京都府京都市右京区嵯峨天龍寺門前 嵐山昇龍苑1F,0758625656,
ことばのはおと,602-0087,京都府京都市上京区天神北町12-1,0754142050,
スターバックスコーヒー アミュプラザ長崎店,850-0058,長崎県長崎市尾上町1-1アミュプラザ長崎,0958081123,
小川珈琲 本店,615-0802,京都府京都市右京区西京極北庄境町75,0753137334,
SOHOLM CAFE+DINING UMEDA(スーホルム カフェプラスダイニング ウメダ),530-0011,大阪府大阪市北区大深町3-1 グランフロント大阪北館1Fアクタス梅田店内,0663592737,
カナカナ,630-8382,奈良県奈良市公納堂町13,0742223214,※予約不可
マヅラ,530-0001,大阪府大阪市北区梅田1-3-1 大阪駅前第一ビルB1,0663453400,
ROCKSIDE MARKET(ロックサイド マーケット),321-0345,栃木県宇都宮市大谷町909,0286888604,
ラウンジ&バー グラン・ブルー,650-0042,兵庫県神戸市中央区波止場町7-2 ホテル ラ・スイート神戸ハーバーランド2F,0783711188,
美腸活 CAFE&GROCERY L for You(ビチョウカツ カフェアンドグローサリー エルフォー ユー),107-0062,東京都港区南青山3-9-3 池上ビル1F,0364592504,フードデリバリーサービス(UBER EATS)利用可能
AOSORA PARLOR(アオゾラ パーラー),906-0306,沖縄県宮古島市下地来間104-1,0980763900,
MOTO COFFEE(モト コーヒー) 北浜店,541-0041,大阪府大阪市中央区内北浜2-1-1  北浜ライオンビルディング,0647063788,
ECLECTIC CAFE ERIC ROSE(エクレクティックカフェエリックローズ),107-0061,東京都港区北青山3-4-3 ののあおやま 1F E区画,0363845666,
FUK COFFEE(フック コーヒー),812-0038,福岡県福岡市博多区祇園町6-22,0922817300,
アトリウムラウンジ,107-0052,東京都港区赤坂1-12-33 ANAインターコンチネンタルホテル東京2F,0335051185,
ミルクホール,248-0006,神奈川県鎌倉市小町2-3-8,0467221179,
京 嵯峨野 竹路庵 本店,616-8374,京都府京都市右京区嵯峨天龍寺北造路町45-4,0758642371,
珈琲館 紅鹿舎,100-0006,東京都千代田区有楽町1-6-8 松井ビル1F,0335020848,
カフェ&グルメショップ カフェベル,543-0001,大阪府大阪市天王寺区上本町6-1-55 シェラトン都ホテル大阪 フロア M2F,0667735582,
珈琲貴族エジンバラ,160-0022,東京都新宿区新宿3-2-4 新宿M&Eスクエアビル2F,0353792822,
ピノキオ,173-0024,東京都板橋区大山金井町16-8,0339749336,
自家焙煎珈琲みじんこ,113-0034,東京都文京区湯島2-9-10湯島三組ビル1F,0362401429,
幸せのパンケーキ 渋谷店,150-0043,東京都渋谷区道玄坂1-18-8 道玄坂プラザ仁科屋ビル 3F,0334626666,
赤坂/六本木 貸切パーティー SUZU CAFE 六本木(スズカフェ),106-0032,東京都港区六本木3-10-1,0367211719,
やごとのだんごやさん,468-0077,愛知県名古屋市天白区八事山101 八事霊園駐車場前,0528385005,
rag & bone coffee,150-0001,東京都渋谷区神宮前5-12-3,0368038605,
リズラボキッチン,150-0001,東京都渋谷区神宮前4-15-2 裏参道ガーデン内,,
マカプレッソ 新大久保店,169-0073,東京都新宿区百人町2-3-21 THE CITY 新大久保 2F,0363803875,
玄米カフェ 実身美 京橋店,534-0024,大阪府大阪市都島区東野田町1-6-1 京阪高架下 Kぶらっと内,0663539333,
ヒキダシ Cafe & Restrant,135-0021,東京都江東区白河3-8-5,0364588680,
しろいくもとあおいそら,530-0012,大阪府大阪市北区芝田1-6-6,0663725012,
Le PetitMec 御池店,604-0024,京都府京都市中京区御池衣棚通上ル下妙覚寺町186 ビスカリア光樹1F,0752127735,
スターバックス コーヒー イオンモール各務原店,504-0943,岐阜県各務原市那加萱場町3-8イオンモール各務原,0583753687,
自家焙煎珈琲 凡,160-0022,東京都新宿区新宿3-23-1 都里ビルB1,0333410179,
Tawanico,540-0021,大阪府大阪市中央区大手通2-2-9 サンマンション大手前,0669104085,
SOROR,170-0013,東京都豊島区東池袋5-46-12,0359449464,
湊珈琲,501-0111,岐阜県岐阜市鏡島中2-21-5,0583331123,
堀内果実園,630-8224,奈良県奈良市角振町23,0742938393,
Bridge,103-0002,東京都中央区日本橋馬喰町1-13-9 イーグルビル1F,0335273399,
WISE MAN COFFEE,184-0013,東京都小金井市前原町1-14-3,0424076842,
Coba cafe,818-0117,福岡県太宰府市宰府2-7-4,0929282211,
Picco Latte (ピッコ・ラッテ),530-0015,大阪府大阪市北区中崎西4-1-8 中崎WESTビル1F,0664678695,
山本山,103-0027,東京都中央区日本橋2-5-1 日本橋高島屋三井ビルディング 1階,0332713273,
chano-ma池袋,171-0021,東京都豊島区西池袋1-11-1 ルミネ池袋店 9F,0359283327,
カフェ&ダイニング ゼルコヴァ,107-0061,東京都港区北青山3-6-8,0357784566,
紅鶴,111-0035,東京都台東区西浅草2-1-11,0338413910,
からふね屋珈琲 三条本店,604-8031,京都府京都市中京区大黒町39,0752548774,
COFFEE HOUSE maki(コーヒー ハウス マキ),602-0822,京都府京都市上京区河原町今出川上ル青龍町211,0752222460,
CLAMP COFFEE さらさ,604-8381,京都府京都市中京区西ノ京職司町67-38,0758229397,
ラ・プレシューズ 東京ガーデンテラス紀尾井町店,102-0094,東京都千代田区紀尾井町1 東京ガーデンテラス紀尾井町内,0362689755,
kawakami coffee roaster(カワカミコーヒーロースター),565-0821,大阪府吹田市山田東4-11-15,0674933083,
caffice(カフィス),160-0022,東京都新宿区新宿4-2-23 新四curumuビル 2F,,
ポポット(POPHOT),153-0053,東京都目黒区五本木3-31-6,0337946769,
カフェ ブリッヂ 西銀座店,104-0061,東京都中央区銀座4-1 NISHIGINZA B1F,0335664081,
おふろcafe(カフェ) かりんの湯,287-0103,千葉県香取市西田部1309-34,0570011831,
あんみつ抹茶処 雷門まとい,111-0032,東京都台東区浅草1-3-3,0338417508,
REVIVE KITCHEN THREE AOYAMA(リバイブ キッチン スリー アオヤマ),107-0061,東京都港区北青山3-12-13,0364197513,
BLUE BOOKS cafe(ブルー ブックス カフェ) 自由が丘店,152-0035,東京都目黒区自由が丘2-9-15 ユレカビル B1F,0368258686,
NEW NEW  YORK CLUB JIYUGAOKA(ニュー ニュー ヨーク クラブ ジユウガオカ),152-0034,東京都目黒区緑が丘2-15-14,0364595669,禁煙
fuzkue(フヅクエ) 本の読める店 初台,151-0061,東京都渋谷区初台1-38-10 二名ビル 2F,,
パフェテラス ミルキーウェイ,170-0013,東京都豊島区東池袋1-12-8 富士喜ビル 2F,0339857194,
Kurasu(クラス),600-8235,京都府京都市下京区東油小路町552,0757440804,
5 CROSSTIES COFFEE(ファイブクロスティーズコーヒー) グランスタ東京店,100-0005,東京都千代田区丸の内1-9-1 東京駅構内・GRANSTA TOKYO内,0352205050,終日全面禁煙電子マネー(Suica)利用可クレジットカード利用可
green bean to bar CHOCOLATE FUKUOKA(グリーン ビーン トゥ バー チョコレート フクオカ),810-0021,福岡県福岡市中央区今泉1-9-22西鉄天神CLASS1F,0924067880,
Sd Coffee(エスディ コーヒー) 北千住,120-0034,東京都足立区千住4-19-11,0368061013,
ukafe(ウカフェ) 東京ミッドタウン店,107-0052,東京都港区赤坂9-7 TOKYO MIDTOWN GALLERIA内,0364389920,
dessert cafe HACHIDORI(デザート カフェ ハチドリ),249-0006,神奈川県逗子市逗子5-5-10,0468701320,
一保堂茶舗 新丸ビル店,100-0005,東京都千代田区丸の内1-5-1 新丸の内ビル B1F,0362120202,
MAMEBACO(マメバコ),602-8023,京都府京都市上京区春日町435,0757030770,
ALPHA BETA COFFEE CLUB(アルファ ベータ コーヒー クラブ),152-0035,東京都目黒区自由が丘2-10-4 ミルシェ自由が丘 3F,0357268433,
CheeseTable(チーズ テーブル) 新宿店,160-0022,東京都新宿区新宿3-23-12 パンドラビル7F,0332268730,
宇田川カフェ,150-0042,東京都渋谷区宇田川町18-4 LD&Kビル1F・2F,0364169087,
alt.coffee roasters(オルトコーヒー ロースターズ),604-8371,京都府京都市中京区神泉苑町28-4,,
cocoo cafe(コクウ カフェ),550-0004,大阪府大阪市西区靱本町2-2-23,0649810816,
metcha matcha(メッチャ マッチャ) 淀屋橋,541-0045,大阪府大阪市中央区道修町3-5-11 OMEビル 1F,0662264411,
LIT COFFEE&TEA STAND(リト コーヒー アンド ティー スタンド),105-0014,東京都港区芝2-15-15 ラディーチェ芝 1F,0367220038,
SUKEMASA COFFEE(スケマサコーヒー),111-0032,東京都台東区浅草2-29-2 君塚ビル102,0358307763,
二階のサンドイッチ,135-0022,東京都江東区三好4-1-1,0364585708,
リンツ ショコラ カフェ 渋谷店,150-0002,東京都渋谷区渋谷1-25-6,0364272793,
二吉軒監修 豆漿日和 /ノナラパール ラフォーレ原宿店,150-0001,東京都渋谷区神宮前1-11-6 ラフォーレ原宿内,0364329627,
二足歩行 coffee roasters(コーヒー ロースターズ),154-0024,東京都世田谷区三軒茶屋1-30-9 三軒茶屋ターミナルビル 2F,0364509737,
SASAYA SHOEN CAFE&ATELIER(笹屋昌園カフェ&アトリエ),616-8015,京都府京都市右京区谷口園町2,0754639480,
Teafanny(ティファニー),231-0801,神奈川県横浜市中区新山下3-2-5,0456251661,
WANDERERS STAND(ワンダラーズスタンド),600-8321,京都府京都市下京区八百屋町58 イチハタビル1F,0753535958,
Cafeふふふあんby半兵衛麸,605-0903,京都府京都市東山区上人町433,0755610371,
リンツ ショコラ ブティック&カフェ 吉祥寺店,180-0004,東京都武蔵野市吉祥寺本町2-13-14,0422271906,
にしむら珈琲 三宮店,651-0094,兵庫県神戸市中央区琴ノ緒町5-3-5 グリーンシャポービル1F・2F,0782412777,
りくろーおじさんの店 彩都の森店 陸カフェterrace,567-0086,大阪府茨木市彩都やまぶき1-2-26,0726410039,
Bacha Coffee(バシャコーヒー)銀座,104-0061,東京都中央区銀座5-6-6,0362639720,
小川珈琲堺町錦店,604-8127,京都府京都市中京区堺町通錦小路上る菊屋町519-1,0757481699,
天下茶屋,401-0304,山梨県南都留郡富士河口湖町河口2739,0555766659,
文房堂 神田本店,101-0051,東京都千代田区神田神保町1-21-1,0332913442,
Ron Herman SENDAGAYA(ロン ハーマン センダガヤ),151-0051,東京都渋谷区千駄ヶ谷2-11-1,0334026839,
銀座ブラジル浅草支店,111-0032,東京都台東区浅草1-28-2 2F,0338411473,
SNOOPY(スヌーピー)茶屋 由布院店,879-5102,大分県由布市湯布院町川上1540-2,0977758780,[カフェ]0977-75-8780[グッズ]0977-75-8790
RAKU SPA Cafe(ラク スパ カフェ) 浜松,432-8051,静岡県浜松市中央区若林町1680-5,0534454919,Wi-Fiあり
アムウェイ・プラザ東京,150-0042,東京都渋谷区宇田川町7-1 日本アムウェイ本社ビル 1F,0354287100,
スターバックスコーヒー 六本木ヒルズ メトロハット/ハリウッドプラザ店,106-0032,東京都港区六本木6-4-1メトロハット/ハリウッドプラザ,0334037716,
久原本家 総本店,811-2501,福岡県糟屋郡久山町久原2527,0929763408,※カーナビ検索時は以下電話番号をご入力ください092-976-0001
Port Terrace Cafe(ポート テラス カフェ),231-0001,神奈川県横浜市中区新港2-3-1 JICA横浜 3F,0452288075,
@FARM Cafe(アットファーム カフェ),350-1151,埼玉県川越市大字今福1043-3,0492488130,
喫茶二十世紀,152-0035,東京都目黒区自由が丘2-16-19,,
Cafe de Lyon,451-0042,愛知県名古屋市西区那古野1-23-8,0525719571,
mixture,155-0031,東京都世田谷区北沢3-31-5,0354537677,
CRAFT CAFE,336-0015,埼玉県さいたま市南区太田窪1695-1,0488820696,
ROUTE BOOKS,110-0015,東京都台東区東上野4-14-3 Route Common1F,0358302666,
Cinq,330-0073,埼玉県さいたま市浦和区元町2-9-7,0488865000,
